iter	Logloss
0	0.6920607249
5	0.6869683847
10	0.682306364
15	0.6780401575
20	0.6740443249
25	0.6702406755
30	0.6667533534
35	0.6634792741
40	0.6604293455
45	0.6575504323
50	0.6548248768
55	0.6522683389
60	0.6498991241
65	0.6476281339
70	0.645468058
75	0.6434245124
80	0.6415478243
85	0.6397363133
90	0.6380232968
95	0.6363998109
100	0.6348723356
105	0.6333782319
110	0.631959025
115	0.6306247588
120	0.6293814273
125	0.6281801072
130	0.6270373222
135	0.6258675916
140	0.6247582321
145	0.6236963379
150	0.6227596138
155	0.6218129539
160	0.6209395709
165	0.6200833056
170	0.6192581979
175	0.6184495059
180	0.6176569057
185	0.6169170087
190	0.6161921775
195	0.615489756
200	0.6148459776
205	0.6141854594
210	0.6135437329
215	0.6129050304
220	0.6122981875
225	0.6117324919
230	0.611185966
235	0.6106553699
240	0.6101232618
245	0.6096246872
250	0.6091310266
255	0.6086532957
260	0.6082161182
265	0.6077798047
270	0.6073492691
275	0.6069389832
280	0.6065517009
285	0.6061591808
290	0.6057832384
295	0.6054095099
300	0.6050486333
305	0.6046968825
310	0.6043485877
315	0.6040141167
320	0.6036856396
325	0.6033607804
330	0.6030472071
335	0.6027338497
340	0.60244409
345	0.6021589743
350	0.6018800144
355	0.6016102884
360	0.6013352165
365	0.6010699185
370	0.6008119103
375	0.600562704
380	0.6003195456
385	0.6000980409
390	0.5998716763
395	0.5996413157
400	0.5994115492
405	0.5991924744
410	0.5989731297
415	0.5987459551
420	0.5985316862
425	0.5983265433
430	0.5981277183
435	0.5979204693
440	0.5977187823
445	0.5975168793
450	0.597337062
455	0.597135375
460	0.5969465398
465	0.5967607286
470	0.5965886331
475	0.5964093018
480	0.5962398523
485	0.5960567411
490	0.5958858336
495	0.5957319899
500	0.5955577345
505	0.595389851
510	0.5952213195
515	0.5950644518
520	0.5949048842
525	0.5947504465
530	0.5946064306
535	0.5944532349
540	0.5942993372
545	0.5941488954
550	0.5940062296
555	0.5938584878
560	0.5937134999
565	0.593575316
570	0.5934487419
575	0.5933139599
580	0.593173508
585	0.5930090804
590	0.5928831003
595	0.5927540422
600	0.5926268201
605	0.59250057
610	0.5923484542
615	0.592231384
620	0.5921187956
625	0.592026565
630	0.5919046888
635	0.5918055463
640	0.5917117497
645	0.5915975954
650	0.5915322564
655	0.5914722633
660	0.591356165
665	0.5912420107
670	0.591151076
675	0.5910826051
680	0.5910120281
685	0.5909207695
690	0.5908439826
695	0.5907730817
700	0.5907003987
705	0.5906046582
710	0.5905164235
715	0.5904682022
720	0.5903860694
725	0.5903418441
730	0.590279205
735	0.5901998802
740	0.5901221213
745	0.5900175789
750	0.5899297222
755	0.5898911128
760	0.5898227498
765	0.5897380791
770	0.589672524
775	0.589604971
780	0.5895507018
785	0.5894695411
790	0.5893812524
795	0.5893187213
800	0.5892306486
805	0.5891772974
810	0.5890949486
815	0.5890286916
820	0.5889597346
825	0.5889170753
830	0.5888611861
835	0.5887787293
840	0.5887301301
845	0.5886761309
850	0.5885950781
855	0.5885459928
860	0.5884764958
865	0.5883859932
870	0.5883122303
875	0.5882520212
880	0.5881863041
885	0.5881149172
890	0.5880297065
895	0.5879647994
900	0.5879113942
905	0.5878438412
910	0.5877716983
915	0.587727635
920	0.5876661839
925	0.5876030588
930	0.5875412297
935	0.5874768087
940	0.5874183816
945	0.5873589824
950	0.5872852195
955	0.5872338123
960	0.5871963909
965	0.5871159321
970	0.5870671168
975	0.5870207855
980	0.5869751562
985	0.5869242349
990	0.5868809276
995	0.5868241744
1000	0.5867804351
1005	0.5867437696
1010	0.5866913364
1015	0.5866346372
1020	0.5865689202
1025	0.586514867
1030	0.5864650257
1035	0.5863936388
1040	0.5863346717
1045	0.5862807805
1050	0.5862219214
1055	0.5861890359
1060	0.5861251548
1065	0.5860564678
1070	0.5860033326
1075	0.5859584053
1080	0.5859023001
1085	0.5858582368
1090	0.5857953817
1095	0.5857451085
1100	0.5856962392
1105	0.5856790674
1110	0.585644562
1115	0.5855942887
1120	0.5855401815
1125	0.5854928242
1130	0.585440499
1135	0.5853905497
1140	0.5853542083
1145	0.5853293686
1150	0.585302585
1155	0.5852572797
1160	0.5851921567
1165	0.5851435034
1170	0.585102032
1175	0.5850669865
1180	0.5850220592
1185	0.5849774019
1190	0.5849387385
1195	0.5848801493
1200	0.5848128123
1205	0.5847851107
1210	0.5847601091
1215	0.5847079459
1220	0.5846758164
1225	0.5846261371
1230	0.5846030794
1235	0.584563228
1240	0.5845191647
1245	0.5844825532
1250	0.584429958
1255	0.5843926446
1260	0.5843495532
1265	0.5843195297
1270	0.5842701744
1275	0.5842244911
1280	0.5841911196
1285	0.5841520782
1290	0.5841054228
1295	0.5840486157
1300	0.5840195641
1305	0.5839940765
1310	0.583958653
1315	0.5839269555
1320	0.5838860781
1325	0.5838355889
1330	0.5837943875
1335	0.5837355284
1340	0.5836867671
1345	0.5836523156
1350	0.5836137602
1355	0.5835722348
1360	0.5835278474
1365	0.583489292
1370	0.5834626704
1375	0.5834190931
1380	0.5833770277
1385	0.5833423602
1390	0.5833083947
1395	0.5832796131
1400	0.5832514796
1405	0.5832060122
1410	0.5831751787
1415	0.5831402412
1420	0.5830973118
1425	0.5830526005
1430	0.583021551
1435	0.5829730597
1440	0.5829619359
1445	0.5829120946
1450	0.5828582034
1455	0.5828296918
1460	0.5828048522
1465	0.5827600329
1470	0.5827194795
1475	0.5826892939
1480	0.5826481465
1485	0.582619419
1490	0.5825888554
1495	0.5825556999
1500	0.5825195204
1505	0.5824924668
1510	0.5824636853
1515	0.5824249678
1520	0.5823849544
1525	0.5823543909
1530	0.5823149715
1535	0.5822767941
1540	0.5822292748
1545	0.5822079991
1550	0.5821765715
1555	0.5821497339
1560	0.5821240303
1565	0.5820844489
1570	0.5820557753
1575	0.5820174899
1580	0.5819686746
1585	0.5819350331
1590	0.5818953437
1595	0.5818556543
1600	0.5818240648
1605	0.5817785975
1610	0.5817505179
1615	0.5817139604
1620	0.5816835049
1625	0.5816484054
1630	0.5816273457
1635	0.5815741565
1640	0.5815194013
1645	0.5814823039
1650	0.5814465024
1655	0.5814107009
1660	0.5813786254
1665	0.5813552978
1670	0.5813147984
1675	0.5812888247
1680	0.5812426014
1685	0.5812131719
1690	0.5811653286
1695	0.5811277451
1700	0.5810952916
1705	0.5810576002
1710	0.5810195848
1715	0.5809874552
1720	0.5809585657
1725	0.5809281641
1730	0.5808936046
1735	0.5808647151
1740	0.5808221637
1745	0.5807858222
1750	0.5807502368
1755	0.5807015835
1760	0.5806713979
1765	0.5806396464
1770	0.5806085429
1775	0.5805704734
1780	0.580534132
1785	0.5805037304
1790	0.580467335
1795	0.5804380134
1800	0.5804030219
1805	0.5803643045
1810	0.5803254251
1815	0.5802840077
1820	0.5802473422
1825	0.5802100828
1830	0.5801675314
1835	0.5801256281
1840	0.5800883146
1845	0.5800551051
1850	0.5800137957
1855	0.5799783722
1860	0.5799465127
